title,category,code,name,lecturer,grade,class,season,time
2025年度,理工学部,R0002012,理工リテラシーS2,猪原　哲,2年,専門科目(A6),前期,時間割外
2025年度,理工学部,R0002012,理工リテラシーS2,中大窪　千晶,2年,専門科目(A7),前期,時間割外
2025年度,理工学部,R0002020,サブフィールドPBL,石渡　洋一　他,2年,専門科目(A1),後期,時間割外、火１
2025年度,理工学部,R0002020,サブフィールドPBL,山口　暢彦　他,2年,専門科目(A2),後期,時間割外、火１
2025年度,理工学部,R0002020,サブフィールドPBL,藤澤　知績　他,2年,専門科目(A3),後期,時間割外、火１
2025年度,理工学部,R0002020,サブフィールドPBL,泉　清高　他,2年,専門科目(A4),後期,時間割外、火１
2025年度,理工学部,R0002020,サブフィールドPBL,木本　晃　他,2年,専門科目(A5),後期,時間割外、火１
2025年度,理工学部,R0002020,サブフィールドPBL,山西　博幸　他,2年,専門科目(A6),後期,時間割外、火１
2025年度,理工学部,R0002041,微分積分学基礎演習Ⅰ,鶴　若菜　他,1年,専門科目(A1),前期,月５
2025年度,理工学部,R0002042,微分積分学基礎演習Ⅱ,鶴　若菜　他,1年,専門科目(A1),後期,月５
2025年度,理工学部,R0002051,線形代数学基礎演習Ⅰ,原　重臣　他,1年,専門科目(A1),前期,木５
2025年度,理工学部,R0002052,線形代数学基礎演習Ⅱ,只野　裕一　他,1年,専門科目(A1),後期,火５
2025年度,理工学部,R0002061,理工キャリア教育プログラムS,矢田　光徳　他,2年,専門科目(A1),前期,集中講義
2025年度,理工学部,R0002061,理工キャリア教育プログラムS,矢田　光徳　他,2年,専門科目(A2),後期,集中講義
2025年度,理工学部,R0002062,理工キャリア教育プログラムL,矢田　光徳　他,2年,専門科目(A1),前期,集中講義
2025年度,理工学部,R0002062,理工キャリア教育プログラムL,矢田　光徳　他,2年,専門科目(A2),後期,集中講義
2025年度,理工学部,R0003012,理工リテラシーS3,岩﨑　淳,3年,専門科目(A1),前期,時間割外
2025年度,理工学部,R0003012,理工リテラシーS3,廣友　雅徳　他,3年,専門科目(A2),前期,時間割外
2025年度,理工学部,R0003012,理工リテラシーS3,藤澤　知績,3年,専門科目(A3),前期,時間割外
2025年度,理工学部,R0003012,理工リテラシーS3,真木　一　他,3年,専門科目(A4),前期,時間割外
2025年度,理工学部,R0003012,理工リテラシーS3,服部　信祐,3年,専門科目(A5),前期,時間割外
2025年度,理工学部,R0003012,理工リテラシーS3,大津　康徳　他,3年,専門科目(A6),前期,時間割外
2025年度,理工学部,R0003012,理工リテラシーS3,帯屋　洋之,3年,専門科目(A7),前期,時間割外
2025年度,理工学部,R0003041,AI・数理・データサイエンスリテラシーS,廣友　雅徳　他,3年,専門科目(A1),前期,時間割外
2025年度,理工学部,R0003042,AI・数理・データサイエンスリテラシーL,廣友　雅徳　他,3年,専門科目(A1),前期,時間割外
2025年度,理工学部,R0011011,微分積分学Ⅰa,木下　武彦　他,1年,専門科目(A1),前期,月３
2025年度,理工学部,R0011012,微分積分学Ⅰb,木村　拓馬　他,1年,専門科目(B1),前期,月３
2025年度,理工学部,R0011012,微分積分学Ⅰb,押川　英夫　他,1年,専門科目(B2),前期,月３
2025年度,理工学部,R0011012,微分積分学Ⅰb,石本　志高　他,1年,専門科目(B3),前期,月３
2025年度,理工学部,R0011012,微分積分学Ⅰb,仮屋　圭史　他,1年,専門科目(C1),前期,金３
2025年度,理工学部,R0011012,微分積分学Ⅰb,杉　剛直　他,1年,専門科目(C2),前期,金３
2025年度,理工学部,R0011021,線形代数学Ⅰa,猿子　幸弘,1年,専門科目(A1),前期,金３
2025年度,理工学部,R0011022,線形代数学Ⅰb,ナルモン,1年,専門科目(B1),前期,金３
2025年度,理工学部,R0011022,線形代数学Ⅰb,只野　裕一,1年,専門科目(B2),前期,金３
2025年度,理工学部,R0011022,線形代数学Ⅰb,佐藤　和也,1年,専門科目(C1),前期,月３
2025年度,理工学部,R0011022,線形代数学Ⅰb,原　重臣,1年,専門科目(C2),前期,月３
2025年度,理工学部,R0011031,物理学概説,山内　一宏,1年,専門科目(A1),前期,木４
2025年度,理工学部,R0011031,物理学概説,石渡　洋一,1年,専門科目(A2),前期,木４
2025年度,理工学部,R0011031,物理学概説,橘　基,1年,専門科目(B1),前期,木４
2025年度,理工学部,R0011031,物理学概説,河野　宏明（工）,1年,専門科目(C1),前期,火２
2025年度,理工学部,R0011032,化学概説,山田　泰教　他,1年,専門科目(A1),前期,月４
2025年度,理工学部,R0011032,化学概説,坂口　幸一　他,1年,専門科目(A2),前期,月４
2025年度,理工学部,R0011032,化学概説,海野　雅司　他,1年,専門科目(A3),前期,月４
2025年度,理工学部,R0011032,化学概説,矢田　光徳　他,1年,専門科目(B1),前期,木３
2025年度,理工学部,R0011032,化学概説,成田　貴行　他,1年,専門科目(B2),前期,木３
2025年度,理工学部,R0011032,化学概説,大渡　啓介　他,1年,専門科目(B3),前期,木３
2025年度,理工学部,R0011033,生物学概説,藤澤　知績,1年,専門科目(A1),前期,水３
2025年度,理工学部,R0011033,生物学概説,徳留　嘉寛,1年,専門科目(A2),前期,月２
2025年度,理工学部,R0011033,生物学概説,長田　聡史,1年,専門科目(A3),前期,月２
2025年度,理工学部,R0011033,生物学概説,本島　浩之,1年,専門科目(A4),前期,水３
2025年度,理工学部,R0011040,データサイエンスⅠ,廣友　雅徳　他,1年,専門科目(A1),前期,時間割外
2025年度,理工学部,R0011050,理工概論,鯉川　雅之　他,1年,専門科目(A1),前期,火１
2025年度,理工学部,R0051011,微分積分学Ⅱa,木下　武彦　他,1年,専門科目(A1),後期,月３
2025年度,理工学部,R0051012,微分積分学Ⅱb,皆本　晃弥　他,1年,専門科目(A1),後期,金３
2025年度,理工学部,R0051012,微分積分学Ⅱb,鶴　若菜,1年,専門科目(B1),後期,金３
2025年度,理工学部,R0051012,微分積分学Ⅱb,池上　康之　他,1年,専門科目(C1),後期,月３
2025年度,理工学部,R0051012,微分積分学Ⅱb,大津　康徳　他,1年,専門科目(C2),後期,月３
2025年度,理工学部,R0051012,微分積分学Ⅱb,堂薗　浩　他,1年,専門科目(C3),後期,月３
2025年度,理工学部,R0051012,微分積分学Ⅱb,山西　博幸　他,1年,専門科目(C4),後期,月３
2025年度,理工学部,R0051013,線形代数学Ⅱa,中村　伊南沙　他,1年,専門科目(A1),後期,金３
2025年度,理工学部,R0051014,線形代数学Ⅱb,田中　高行,1年,専門科目(A1),後期,月３
2025年度,理工学部,R0051014,線形代数学Ⅱb,佐藤　和也,1年,専門科目(B1),後期,月３
2025年度,理工学部,R0051014,線形代数学Ⅱb,只野　裕一,1年,専門科目(C1),後期,金３
2025年度,理工学部,R0051014,線形代数学Ⅱb,木本　晃,1年,専門科目(C2),後期,金３
